Latitude,Longitude,Signal_Strength,NW_provider
25.219084,48.160691,14,1
25.249309,23.014277,86,2
25.26134,40.837789,29,1
25.284168,58.054301,93,2
25.340248,29.830194,9,2
25.388608,29.720884,87,3
25.458714,70.640584,68,0
25.693242,73.404657,10,0
25.759326,37.469461,29,1
25.798954,74.801561,92,2
25.874215,20.628881,51,1
25.989224,67.408165,99,1
26.017668,19.618727,97,1
26.079345,75.097263,38,1
26.193352,75.217785,42,1
26.212712,42.872605,3,1
26.261265,42.956653,64,0
26.46597,36.426898,72,1
26.519041,43.84205,92,0
26.550621,24.614253,6,2
26.561976,46.745804,39,2
26.584262,54.510531,87,2
26.586211,48.932774,48,0
26.66579,19.211583,100,2
26.689166,71.206096,18,0
26.739969,23.21043,22,3
26.884289,53.492106,73,3
26.965861,18.750372,52,2
27.197765,65.212319,11,0
27.280699,47.895363,100,0
27.283976,45.627972,4,1
27.295438,53.490765,13,1
27.30824,72.723049,3,2
27.4209,46.987015,14,1
27.436141,58.191847,42,2
27.486515,25.494408,94,2
27.558924,78.882385,96,0
27.562744,28.951552,22,1
27.577803,16.265053,100,3
27.695235,36.928207,22,3
27.725785,53.792788,21,0
27.74515,54.011537,32,2
27.763073,53.071718,66,2
27.784096,17.004407,66,3
27.834453,66.182213,75,3
27.921493,52.52183,95,1
27.939056,56.077772,36,2
28.075685,60.555382,61,1
28.090873,66.58062,27,2
28.101161,49.287568,70,2
28.177934,61.779063,88,3
28.426981,72.694923,80,2
28.474047,49.415761,60,3
28.487855,18.390182,8,1
28.506552,39.727179,21,3
28.655363,52.752144,59,2
28.733432,71.371199,48,2
28.804162,37.164271,8,2
28.909224,18.546858,99,1
29.010084,73.324547,35,3
29.013904,76.688861,3,2
29.065582,72.166744,64,2
29.117927,26.562115,100,1
29.161666,72.445531,47,1
29.250373,48.753826,65,1
29.30237,78.303396,73,3
29.463148,18.189905,100,2
29.464403,32.344823,8,1
29.480268,51.723662,88,1
29.623444,67.176963,85,2
29.636225,17.134147,20,0
29.64116,40.648616,65,0
29.701676,63.550605,59,1
29.703239,25.400119,47,3
29.786024,25.814619,82,0
29.809177,17.442169,47,2
29.859055,44.40416,9,3
29.879339,73.660821,39,2
29.886534,63.003828,13,0
29.900803,34.181404,38,1
30.020746,78.805324,56,0
30.150181,34.926139,72,3
30.244805,63.00674,48,2
30.254512,35.066598,56,1
30.286111,67.941657,98,0
30.34866,31.717799,31,2
30.396845,60.584855,81,2
30.420647,27.873966,10,3
30.467285,35.350725,49,1
30.517429,55.05748,14,0
30.517627,22.052267,68,2
30.530545,68.5057,18,3
30.768665,74.176448,77,1
30.830676,35.848935,10,0
30.966496,51.512438,49,3
30.973302,27.465453,16,1
30.996862,34.346194,7,3
31.084352,55.71249,81,1
31.091629,19.695922,12,1
31.119303,66.454883,23,3
31.145167,19.293996,29,1
31.158174,32.074096,61,0
31.190702,15.651711,30,2
31.219971,28.539778,18,2
31.283069,20.048441,76,2
31.339742,76.164365,35,1
31.424049,47.628526,67,0
31.428896,23.019977,80,0
31.451743,57.567311,8,2
31.490496,76.324429,43,3
31.560782,43.442092,52,1
31.581143,29.919789,46,2
31.597291,39.557348,39,2
31.691265,22.15183,16,0
31.69963,22.103661,11,3
31.716105,41.095817,80,3
31.753035,78.71765,37,3
31.80065,73.910897,19,1
31.837626,26.969781,82,0
31.884073,29.506499,42,3
32.071902,68.250802,31,0
32.292285,32.155514,15,1
32.376915,52.436525,26,2
32.42803,72.697598,72,2
32.460088,23.965291,57,2
32.460427,68.116947,1,0
32.474139,37.102797,70,0
32.474151,67.560098,51,0
32.478675,52.775263,88,2
32.518746,25.153964,74,1
32.522339,15.194612,30,0
32.616235,55.63543,49,3
32.657461,77.160652,78,0
32.681109,62.886285,11,3
32.701019,70.452129,57,1
32.724721,63.250536,29,2
32.795755,35.402549,69,3
32.841801,44.802309,95,2
32.882797,52.907101,51,2
32.895285,49.27538,15,2
32.8962,41.395089,47,3
32.906692,38.280779,77,1
32.909432,50.236827,49,2
33.002194,21.94703,7,3
33.018223,18.749492,93,1
33.034984,27.15835,49,3
33.07423,75.451609,68,2
33.195201,42.215841,15,1
33.247487,52.338467,38,2
33.262043,47.56897,91,2
33.30704,53.827879,92,0
33.319801,61.914527,43,2
33.374753,61.636546,17,3
33.498424,25.46044,89,0
33.498838,31.168667,51,3
33.517307,17.158066,45,3
33.578763,52.947564,37,3
33.600807,16.007101,17,3
33.70357,69.396045,86,2
33.760589,25.296422,84,1
33.814959,65.487981,32,0
33.872433,17.852505,47,0
34.021166,47.309686,7,1
34.127125,35.111833,71,1
34.210761,64.554998,22,2
34.431331,56.207651,68,1
34.46105,26.036886,88,1
34.473567,57.25948,50,3
34.603289,45.378119,58,3
34.701023,24.920556,12,1
34.811094,22.580603,72,0
34.876423,60.989911,72,2
34.922165,47.870087,41,0
34.925422,38.86573,77,1
35.013078,31.809301,50,1
35.03379,66.830963,95,1
35.046886,20.831615,86,1
35.149513,21.005121,74,1
35.230967,24.194287,71,1
35.311787,51.894365,98,0
35.33014,69.245658,58,2
35.401663,77.892122,82,1
35.470383,42.636143,14,3
35.530271,61.639688,14,2
35.563716,74.038365,88,0
35.5745,60.074437,44,0
35.617842,18.722674,41,1
35.664989,73.827006,59,3
35.761651,53.297612,64,1
35.83426,43.989681,55,2
35.858442,59.82709,22,0
36.110389,33.7758,83,2
36.110929,76.205914,74,1
36.158399,50.841999,50,0
36.365535,30.770769,49,1
36.417614,42.771684,82,1
36.456995,55.41865,65,2
36.5122,14.554368,56,0
36.599562,16.923348,49,3
36.620633,38.225677,75,3
36.657482,59.289959,45,1
36.893748,70.592625,72,3
36.978738,41.037845,68,1
37.01707,75.339595,89,2
37.043417,38.065168,79,2
37.073719,44.749248,42,3
37.097685,68.834194,90,1
37.218215,66.728227,80,2
37.250079,21.700289,48,0
37.25061,22.987349,29,0
37.364474,59.348213,32,0
37.392875,38.230743,63,0
37.408075,55.34896,61,0
37.422981,25.837706,63,3
37.554465,37.372862,47,2
37.641739,19.681388,11,2
37.683078,30.231469,35,0
37.757158,31.61036,92,1
37.781045,60.037949,58,0
37.784642,27.340909,7,3
37.817616,61.822251,82,2
37.841693,18.504716,89,3
37.879773,78.675546,50,1
37.890976,33.496004,90,3
38.168635,15.153679,20,1
38.194525,21.21967,42,0
38.232953,69.71335,9,0
38.344475,68.164172,53,1
38.409757,40.111565,54,1
38.476259,53.948108,17,0
38.527936,64.105661,26,0
38.567398,56.150534,79,0
38.576344,25.356936,73,0
38.702148,53.804278,74,1
38.847526,64.900485,45,1
38.900865,75.276654,90,3
38.938798,43.078746,48,0
38.951846,16.189244,35,3
38.969664,18.552935,48,2
39.151969,52.565497,82,3
39.16369,39.122764,86,2
39.348776,61.378768,47,2
39.387901,34.783937,25,3
39.412012,40.885837,17,0
39.426692,67.548387,63,1
39.429313,45.366834,15,2
39.517353,43.506818,43,3
39.56978,70.940589,65,0
39.599779,15.783888,92,0
39.712145,63.493566,56,1
39.840684,38.408017,15,1
39.893669,38.550156,100,0
39.90712,30.253981,29,0
39.97376,66.217233,85,1
40.07813,46.95498,23,3
40.09939,76.175392,72,2
40.139884,52.905711,66,2
40.229085,21.153309,31,2
40.27865,77.279861,39,3
40.413295,18.756003,86,2
40.482333,76.994821,83,2
40.557928,36.732323,43,1
40.576739,17.656073,13,1
40.705914,76.094971,19,1
40.95232,40.004489,99,3
40.999031,69.656868,64,2
41.06056,25.61382,43,2
41.161886,71.249107,57,0
41.295466,78.619496,33,0
41.414575,18.829287,5,3
41.425346,65.510376,49,3
41.475616,46.284911,44,2
41.516316,41.802496,5,3
41.680891,75.313032,25,3
41.738738,27.348906,57,2
41.756349,39.001386,79,0
41.764198,40.043967,41,3
41.792159,78.749369,65,1
41.900807,18.19206,15,0
42.005591,38.626033,9,1
42.088937,47.234369,62,3
42.115287,47.777717,61,0
42.129379,48.824873,45,2
42.32477,61.06158,45,2
42.48009,56.998764,74,2
42.612141,50.469096,17,0
42.629111,67.363671,48,2
42.634107,46.053386,32,1
42.700703,66.408426,99,1
42.72332,77.119999,33,1
42.736441,62.654724,79,2
42.923236,56.188451,66,0
42.94528,76.623929,100,3
42.957389,54.884582,35,3
42.990169,56.235868,59,0
42.990739,18.273907,39,1
43.013407,41.398037,27,1
43.029758,69.799442,22,3
43.105392,28.97117,34,0
43.361426,17.300893,7,0
43.365174,49.254386,15,2
43.416984,58.66453,6,0
43.441825,44.879859,2,3
43.705066,44.412295,35,2
43.712512,23.377327,2,0
43.808314,76.303706,23,0
43.828468,15.889525,48,0
43.866045,56.311243,60,1
43.99025,45.161528,32,2
44.062651,53.979263,9,1
44.0784,75.697943,10,0
44.255404,23.604334,24,2
44.26685,51.68235,77,3
44.292726,36.323224,37,0
44.3746,20.014974,99,1
44.380885,69.498376,10,2
44.418881,62.760845,40,3
44.588878,20.809547,52,3
44.604325,70.450174,97,0
44.622972,23.972189,26,1
44.634614,65.368915,82,0
44.657032,79.214715,52,0
44.68454,67.364654,22,2
44.730452,48.226663,31,1
44.921639,22.736438,64,0
45.048037,46.250307,98,1
45.07684,75.814933,77,1
45.204894,33.932805,92,3
45.256414,41.958581,12,3
45.627724,64.716926,15,2
45.691957,18.127832,44,3
45.714266,67.380254,49,2
45.812239,45.929476,87,1
45.81514,77.518534,8,0
45.848255,40.230028,54,2
45.867693,21.022021,16,2
45.878508,20.24703,87,0
45.885036,37.702311,39,1
45.925279,42.781497,35,1
46.113811,55.219825,99,1
46.116919,14.754361,90,3
46.117725,42.052256,3,3
46.127848,59.061407,29,3
46.183951,52.952554,93,0
46.219445,25.894208,59,2
46.286272,37.862737,37,0
46.319914,21.669768,21,1
46.368319,68.435017,67,3
46.4105,17.317263,98,0
46.421799,74.976192,84,0
46.440766,30.901364,37,1
46.593365,16.397699,62,3
46.727429,26.373404,97,3
46.789321,48.74431,44,0
46.838211,44.145407,78,1
46.869369,51.856441,15,3
46.879778,18.494651,66,0
46.90249,20.666812,99,0
46.922216,15.658637,49,2
46.961099,19.010514,51,3
46.967926,73.874889,81,2
46.992497,71.945269,58,1
47.017653,45.895638,30,1
47.118551,53.33704,76,1
47.149856,29.587678,63,0
47.241449,46.01384,73,1
47.243155,37.806113,35,2
47.277212,17.948846,50,2
47.292218,23.343846,83,0
47.371165,25.866295,32,2
47.376286,71.027064,9,2
47.406862,29.113267,17,2
47.721136,55.08254,58,3
47.752206,23.458618,98,1
47.779103,53.135985,44,0
47.905305,58.916361,75,2
47.930073,67.520521,37,2
47.966152,69.78186,99,3
48.010653,77.378772,53,1
48.073995,29.528387,34,2
48.123447,34.564284,69,0
48.198675,15.473353,36,2
48.203291,23.77606,61,0
48.252672,47.045731,72,3
48.256034,25.591028,2,3
48.322343,22.998627,99,0
48.364281,22.21106,94,2
48.386251,31.180117,17,0
48.424327,52.793493,88,3
48.63898,19.44405,71,0
48.664515,34.685528,19,0
48.775464,41.985544,47,0
48.823205,33.954908,71,2
48.828337,37.062028,76,1
48.845357,21.855259,89,3
48.85853,52.405063,14,3
48.872611,52.986595,64,2
48.897063,40.713044,82,1
49.17894,71.981946,12,0
49.190749,75.098784,35,2
49.241845,15.546903,47,3
49.352498,18.999853,5,3
49.357746,36.495276,12,3
49.426773,37.420697,11,1
49.443926,26.489872,22,3
49.48257,46.229491,30,3
49.606139,33.970853,56,0
49.79549,72.921844,25,3
49.803079,45.580708,6,2
50.026107,35.821993,76,1
50.106713,34.059373,45,1
50.11241,73.019035,59,1
50.22417,27.7094,43,2
50.241527,28.784781,5,1
50.301956,29.962567,32,3
50.406219,17.229181,41,1
50.474615,64.170303,18,2
50.491783,19.471304,54,2
50.504192,43.399115,32,0
50.511166,26.17392,41,3
50.610254,55.404934,65,3
50.673245,60.84126,69,1
50.739596,44.939895,83,1
50.786714,19.334356,80,3
50.797508,21.875547,32,0
50.807853,66.649478,2,3
51.06718,40.530797,13,0
51.100314,35.670125,80,1
51.197199,47.91284,87,0
51.214825,17.587484,98,2
51.237708,53.69814,77,2
51.273162,18.991069,55,3
51.323775,40.269292,61,3
51.357453,61.134331,12,0
51.372603,18.072091,22,2
51.374871,58.185644,69,1
51.464254,50.930053,35,0
51.476131,77.592628,49,1
51.499436,65.135956,33,1
51.532283,30.577631,34,1
51.546617,62.721879,6,2
51.718504,22.036977,8,0
51.758894,32.246944,18,0
51.838424,51.901568,73,2
51.846688,76.158881,18,1
51.857437,58.710586,90,0
52.029198,60.057175,84,2
52.048607,45.014577,44,2
52.062951,63.26441,21,2
52.098545,38.4063,22,1
52.129928,35.011094,51,0
52.177967,58.117006,9,3
52.191346,62.599503,9,2
52.302768,77.180737,83,1
52.316974,68.167739,4,3
52.341998,74.026372,70,2
52.419858,21.06019,68,0
52.472543,64.674817,23,1
52.54549,72.245898,2,1
52.629357,38.674013,57,1
52.706103,23.20962,71,3
52.822257,59.84787,19,3
52.953386,17.974646,66,1
52.954752,55.776034,78,2
52.975086,43.62797,93,0
53.012775,21.470146,64,2
53.02423,50.079672,49,0
53.0251,58.242655,70,0
53.056169,32.101538,17,1
53.075428,70.903405,15,1
53.090288,76.52176,71,0
53.111102,35.645461,33,0
53.186803,72.926623,56,0
53.256479,45.827058,62,3
53.307415,32.485334,75,2
53.410196,62.67474,12,2
53.411683,45.337393,58,1
53.415651,43.957324,11,1
53.502128,77.214349,24,1
53.512713,44.780551,1,2
53.513915,24.912213,87,1
53.51734,14.663357,47,1
53.531943,64.150649,41,2
53.602135,18.587886,2,3
53.653996,68.273269,11,2
53.739098,47.297601,88,2
53.744216,43.354646,48,0
53.746682,57.469731,6,2
53.755849,56.812733,99,3
53.816794,71.696099,68,2
53.883461,59.574125,51,2
53.909963,76.587794,91,0
53.927286,49.201214,93,2
53.994211,41.591763,54,2
54.000497,50.465993,38,1
54.084652,58.693252,17,0
54.15564,74.106132,99,0
54.158363,26.768277,24,3
54.169686,76.001561,3,0
54.191429,43.609408,8,2
54.197967,38.5509,48,1
54.203338,37.893824,83,1
54.205033,21.399082,46,2
54.224348,65.008882,42,3
54.256854,21.412929,17,0
54.32256,68.987926,37,2
54.52107,41.184998,11,0
54.557066,40.508526,45,3
54.61336,77.333809,19,2
54.686132,33.131127,3,0
54.687494,72.884574,90,1
54.739136,53.280635,65,1
54.784039,35.517223,11,1
54.904009,77.647386,84,2
54.923407,32.111236,35,0
54.953801,18.526767,19,3
55.00293,39.967306,9,1
55.064721,78.864371,92,3
55.065229,25.917142,22,2
55.153772,49.165857,25,3
55.189116,31.329263,17,0
55.221433,43.281389,94,0
55.312021,18.955507,45,1
55.382157,51.002619,57,3
55.432503,57.116048,24,0
55.448356,44.631465,42,2
55.487563,30.612058,91,1
55.501838,75.478985,53,3
55.55155,41.128209,49,2
55.579241,16.547438,60,2
55.592968,61.668029,6,2
55.60238,68.867429,10,2
55.705614,23.169456,87,3
55.769793,74.183765,48,0
56.026626,33.642655,10,0
56.032858,73.501953,17,2
56.138145,78.937385,70,0
56.149951,56.194103,91,3
56.202076,38.606152,68,0
56.222115,19.563938,45,0
56.330248,78.369965,42,0
56.359432,63.157831,45,1
56.525815,47.91839,32,0
56.560138,78.365508,88,2
56.626596,41.687672,21,1
56.635868,78.352467,63,2
56.698712,31.172766,37,2
56.745679,15.255007,65,0
56.805356,66.234478,50,1
57.09738,78.483004,3,0
57.10128,60.810775,71,2
57.128222,61.084444,26,0
57.296394,79.140506,85,1
57.321436,36.760196,14,0
57.322318,75.292952,91,3
57.564482,37.683865,59,0
57.591908,50.575672,23,1
57.677846,42.926669,65,0
57.701733,53.368409,54,2
57.718319,58.051839,54,3
57.756714,76.687179,90,0
57.802565,49.877508,15,0
57.830518,76.155547,38,0
57.87479,55.712187,90,1
57.919139,75.932707,68,1
57.968662,28.082264,75,0
57.984681,63.068456,9,3
58.002844,77.914184,84,3
58.044456,17.160443,26,1
58.086613,43.723332,78,1
58.120318,18.681968,35,2
58.143025,69.712822,68,0
58.163414,71.063158,71,1
58.326993,78.573916,13,0
58.374092,61.514977,63,0
58.440591,44.309927,44,3
58.497803,58.97712,84,1
58.524498,70.162047,2,2
58.55621,55.198891,65,0
58.559376,63.167384,83,0
58.584817,41.513887,61,0
58.709548,68.690403,28,2
58.784617,23.51726,64,3
58.948906,43.623127,60,3
59.041125,74.549245,61,0
59.115869,69.305718,83,3
59.16055,73.465351,26,0
59.210789,56.856403,98,0
59.347076,75.439338,59,0
59.349605,19.250176,17,2
59.351965,19.377411,27,2
59.419863,65.898439,71,0
59.454323,44.859502,59,0
59.576588,53.151866,64,1
59.622874,43.049509,1,1
59.706443,70.162342,79,2
59.758049,65.816485,70,3
59.773827,30.529317,16,1
59.918786,40.845475,71,1
59.979758,47.710443,38,2
60.034143,42.965255,45,1
60.181618,25.503341,37,1
60.204356,51.434613,29,0
60.20436,51.621245,92,0
60.324933,58.348572,13,1
60.335389,60.439494,68,0
60.436696,55.531274,87,3
60.504915,56.155436,19,2
60.540528,61.534017,11,2
60.75486,16.13704,98,0
60.877049,18.097348,21,1
60.903322,78.895577,34,3
60.912111,35.619239,88,0
60.968034,33.658735,98,2
60.983236,75.976623,13,3
61.011576,63.10749,86,2
61.017468,73.5961,2,2
61.077929,33.749542,10,2
61.161143,57.861812,91,3
61.163893,20.383701,90,0
61.228355,36.41659,18,2
61.296786,73.032141,39,0
61.333193,21.765125,97,2
61.345695,40.212097,26,1
61.3546,57.852391,89,1
61.447109,58.346362,73,3
61.5238,51.495046,16,0
61.624262,44.547414,4,1
61.690388,45.523748,29,3
61.695312,59.857431,17,2
61.710375,20.730245,29,2
61.799693,52.31013,76,2
61.837642,63.060542,92,2
61.84325,67.905603,37,0
61.86597,68.820136,96,3
61.996552,64.478134,78,3
61.997002,26.115631,12,3
62.146959,55.230956,9,2
62.164269,63.941634,44,1
62.174678,52.278204,16,3
62.189692,35.307296,49,0
62.239443,54.644336,37,1
62.247586,76.748718,9,3
62.351952,20.093858,86,0
62.432084,64.958003,10,2
62.541241,61.031682,37,3
62.551979,36.418592,3,1
62.579139,53.93084,23,2
62.589162,58.069531,18,2
62.593999,66.189795,19,3
62.594465,17.556961,19,1
62.608149,45.03627,5,1
62.684215,69.414942,55,3
62.755409,50.641336,88,3
62.78926,73.741101,39,3
62.848633,32.216178,65,2
62.980277,59.613816,76,1
62.999625,44.976755,42,2
63.102512,58.610973,31,3
63.128607,29.490474,77,0
63.204611,57.697718,22,1
63.26546,44.6649,25,1
63.365826,32.090855,58,3
63.410152,54.233563,11,2
63.431803,44.86033,75,3
63.504892,66.708986,18,2
63.631325,61.264002,61,1
63.764583,25.118383,24,3
63.836542,76.160939,30,2
63.896626,74.479786,16,2
63.94458,34.985994,11,2
64.007373,59.583001,94,3
64.024255,45.016547,73,3
64.044211,59.30347,89,1
64.067615,74.707814,79,1
64.110604,71.966456,17,3
64.121704,21.469065,53,2
64.438298,67.569737,83,0
64.579952,55.45992,98,1
64.63032,44.084942,80,1
64.749792,44.598755,79,2
64.998988,19.872354,33,1
65.055797,73.929992,77,0
65.057452,26.910317,15,1
65.06447,47.636718,32,2
65.13562,49.327596,70,0
65.139906,60.562071,49,3
65.219418,58.693821,63,3
65.261911,57.010372,38,1
65.264933,44.06676,27,3
65.274142,15.06287,72,2
65.345033,68.512326,70,1
65.535078,41.876469,2,2
65.556247,17.975581,38,1
65.608014,42.609839,79,2
65.646132,62.391243,61,2
65.7461,21.228716,64,3
65.784071,41.405758,86,0
65.93763,61.445249,82,2
65.97374,58.670353,87,2
66.100512,36.509082,76,0
66.338518,41.061159,60,2
66.43263,39.126324,28,2
66.470997,42.300068,4,3
66.480275,59.453042,12,2
66.486726,54.358617,67,0
66.496592,76.437614,100,1
66.612679,34.850285,15,0
66.613055,35.432362,99,3
66.713183,79.024332,45,1
66.717308,54.004772,9,2
66.786292,65.825662,16,2
66.804767,31.153926,15,2
66.833308,35.406278,20,2
66.900028,20.800593,51,0
66.900312,42.356664,68,0
67.092867,68.045938,55,2
67.162277,27.160563,67,0
67.269369,78.23194,58,0
67.618627,37.660441,41,2
67.638515,46.780811,15,1
67.68939,32.669977,53,0
67.807027,44.074147,2,0
67.816888,65.471454,88,1
67.851249,29.674816,37,1
67.90284,29.997073,14,1
67.927271,31.826023,15,3
67.94848,56.694078,34,3
67.953085,63.530043,66,2
68.122094,74.147118,78,0
68.184429,38.423972,44,1
68.265124,74.122301,89,2
68.297616,63.422286,75,0
68.300872,70.606811,82,0
68.33265,46.177785,9,3
68.350045,34.875772,91,1
68.35254,66.20439,8,1
68.392277,52.29559,28,2
68.397337,70.308201,40,1
68.671142,51.508603,5,3
68.691997,69.73442,48,1
68.759809,17.926806,1,1
68.911851,50.128314,28,1
69.037984,21.845302,15,3
69.102117,22.20219,100,0
69.114401,32.419754,78,3
69.117497,64.836172,3,2
69.217628,45.151593,24,1
69.394471,71.224357,73,3
69.522616,78.133638,83,2
69.744062,65.27297,82,3
69.820369,41.174246,65,1
69.979871,45.514849,68,1
70.09924,37.691866,17,3
70.211556,36.625117,74,2
70.225151,69.057472,50,3
70.288458,24.473659,54,0
70.290014,27.652462,25,1
70.2939,52.420972,73,0
70.350907,41.409892,93,2
70.42795,31.110778,28,2
70.448341,25.830399,96,2
70.493582,41.912387,46,2
70.519046,36.619356,85,3
70.54798,73.169549,4,0
70.565632,58.883115,67,0
70.624585,54.117725,41,3
70.832215,29.118544,80,3
70.850358,42.481302,68,3
70.868284,28.831479,22,0
70.907884,68.989277,64,1
71.014895,33.248851,23,3
71.028566,57.310731,90,3
71.113224,21.751682,63,1
71.286503,18.917062,12,0
71.402398,41.352765,43,1
71.601477,72.295258,90,2
71.642111,61.498924,21,2
71.674647,74.405192,98,3
71.728144,51.748643,35,1
71.771111,70.648217,62,3
71.797296,51.16908,21,2
71.79826,68.821927,89,1
71.800013,79.328769,92,0
71.803112,75.052931,69,0
71.834271,60.584492,26,3
71.950227,49.091558,45,0
71.956884,36.960561,81,1
71.994343,33.557627,61,0
72.005311,28.51704,72,0
72.096558,48.404342,95,0
72.151808,35.4161,47,0
72.183897,57.210966,75,2
72.276755,50.14612,99,3
72.379257,42.746804,70,0
72.482294,45.134318,69,1
72.528444,51.157855,48,3
72.599315,34.398128,26,1
72.686625,66.770554,21,1
72.694177,37.217673,48,3
72.702335,35.299098,30,2
72.786179,45.216927,17,1
72.792727,72.990056,19,0
72.92171,51.099024,29,2
72.926197,41.210989,87,3
73.016128,15.467329,46,0
73.0528,48.344,13,3
73.055884,72.812659,80,3
73.160109,52.157819,85,0
73.221539,43.861175,99,1
73.305516,62.074617,82,0
73.317532,22.097155,70,2
73.319222,67.793124,30,3
73.32955,70.126112,26,0
73.349754,69.739707,47,3
73.350685,76.588192,43,3
73.37121,57.351634,11,3
73.371386,67.594913,1,2
73.423915,64.176564,36,2
73.45961,58.114071,73,1
73.496494,32.91038,74,3
73.509071,36.072572,27,1
73.52601,30.882713,88,3
73.602685,19.734383,6,2
73.746197,33.948408,82,2
73.81061,36.967774,61,2
73.904349,18.423045,55,1
73.930006,63.972742,73,1
73.96607,59.485351,18,3
74.030791,24.703561,55,1
74.041427,50.799437,28,1
74.1501,66.818739,40,2
74.191618,52.371142,56,3
74.245729,70.535321,46,3
74.289633,75.605891,74,0
74.381124,34.988099,92,1
74.412941,60.592996,86,1
74.501023,71.401037,18,3
74.517717,14.8743,48,2
74.576637,21.396508,48,2
74.716692,30.907098,76,2
74.744338,25.322011,48,3
74.770408,43.098266,53,1
74.770979,47.639469,92,2
74.77217,70.712642,62,3
74.775638,69.3128,5,1
74.78901,70.836837,61,0
74.796473,54.256105,23,3
74.910807,62.078464,50,2
